['2016010320', 'METAR', 'SBGL', '032000Z', '12012KT', '9000', 'X', 'FEW025', 'SCT035', 'BKN050', 'X', '26', '20', 'Q1012=']
['2016010321', 'METAR', 'SBGL', '032100Z', '12009KT', '9999', 'X', 'FEW010', 'SCT040', 'OVC070', 'X', '26', '20', 'Q1013=']
['2016010322', 'METAR', 'SBGL', '032200Z', '12009KT', '9999', 'X', 'FEW010', 'SCT050', 'BKN070', 'X', '26', '20', 'Q1014=']
['2016010323', 'METAR', 'SBGL', '032300Z', '12006KT', '9999', 'X', 'FEW010', 'BKN050', 'X', 'X', '25', '20', 'Q1014=']
['2016010400', 'METAR', 'SBGL', '040000Z', '09005KT', '9999', 'X', 'FEW010', 'SCT020', 'BKN070', 'X', '25', '21', 'Q1015=']
['2016010401', 'METAR', 'SBGL', '040100Z', '14003KT', '9999', 'X', 'SCT020', 'OVC030', 'X', 'X', '24', '21', 'Q1015=']
['2016010402', 'METAR', 'SBGL', '040200Z', '08004KT', '9999', 'X', 'SCT020', 'OVC030', 'X', 'X', '24', '21', 'Q1015=']
['2016010403', 'METAR', 'SBGL', '040300Z', '12003KT', '9999', 'X', 'SCT020', 'OVC030', 'X', 'X', '24', '21', 'Q1015=']
['2016010404', 'METAR', 'SBGL', '040400Z', '12005KT', '9999', 'X', 'SCT020', 'SCT030', 'X', 'X', '24', '20', 'Q1014=']
['2016010405', 'METAR', 'SBGL', '040500Z', '13004KT', '9999', 'X', 'SCT020', 'BKN040', 'X', 'X', '24', '20', 'Q1014=']
['2016010406', 'METAR', 'SBGL', '040600Z', '12005KT', '9999', 'X', 'FEW020', 'BKN040', 'X', 'X', '24', '20', 'Q1014=']
['2016010407', 'METAR', 'SBGL', '040700Z', '36004KT', '9999', 'X', 'SCT017', 'BKN060', 'X', 'X', '23', '20', 'Q1014=']
['2016010408', 'METAR', 'SBGL', '040800Z', '35003KT', '9999', 'X', 'SCT016', 'BKN060', 'X', 'X', '22', '20', 'Q1014=']
['2016010409', 'METAR', 'SBGL', '040900Z', '36005KT', '9999', 'X', 'SCT015', 'BKN050', 'X', 'X', '23', '20', 'Q1015=']
['2016010410', 'METAR', 'SBGL', '041000Z', '05002KT', '9999', 'X', 'FEW020', 'BKN070', 'X', 'X', '24', '21', 'Q1015=']
['2016010411', 'METAR', 'SBGL', '041100Z', '06006KT', '9999', 'X', 'SCT020', 'SCT070', 'X', 'X', '25', '21', 'Q1016=']
['2016010412', 'METAR', 'SBGL', '041200Z', '08005KT', '9999', 'X', 'SCT020', 'X', 'X', 'X', '26', '20', 'Q1016=']
['2016010413', 'METAR', 'SBGL', '041300Z', '03009KT', '9999', 'X', 'SCT020', 'X', 'X', 'X', '27', '20', 'Q1016=']
['2016010414', 'METAR', 'SBGL', '041400Z', '15011KT', '9999', 'X', 'SCT020', 'X', 'X', 'X', '28', '20', 'Q1015=']
['2016010415', 'METAR', 'SBGL', '041500Z', '13013KT', '9999', 'X', 'SCT020', 'X', 'X', 'X', '28', '20', 'Q1015=']
['2016010416', 'METAR', 'SBGL', '041600Z', '13013KT', '9999', 'X', 'SCT025', 'X', 'X', 'X', '29', '19', 'Q1015=']
['2016010417', 'METAR', 'SBGL', '041700Z', '13018KT', '9999', 'X', 'SCT025', 'X', 'X', 'X', '28', '18', 'Q1014=']
['2016010418', 'METAR', 'SBGL', '041800Z', '12013KT', '9999', 'X', 'FEW025', 'SCT040', 'X', 'X', '28', '20', 'Q1014=']
['2016010419', 'METAR', 'SBGL', '041900Z', '13014KT', '9999', 'X', 'FEW025', 'FEW030TCU', 'SCT040', 'X', '28', '19', 'Q1014=']
